file,url,live_status,in_sitemap,inbound_internal_pages
404.html,https://www.ezhalhe-sa.com/404.html,200,False,0
_new_testi.html,https://www.ezhalhe-sa.com/_new_testi.html,200,False,0
articles/كيفية-تصميم-متجر-إلكتروني-احترافي-على-منصة-سلة-وزد.html,https://www.ezhalhe-sa.com/articles/%D9%83%D9%8A%D9%81%D9%8A%D8%A9-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D8%AA%D8%AC%D8%B1-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D8%B9%D9%84%D9%89-%D9%85%D9%86%D8%B5%D8%A9-%D8%B3%D9%84%D8%A9-%D9%88%D8%B2%D8%AF.html,200,False,0
brand-building.html,https://www.ezhalhe-sa.com/brand-building.html,200,False,0
competitor-analysis.html,https://www.ezhalhe-sa.com/competitor-analysis.html,200,False,0
data-analysis.html,https://www.ezhalhe-sa.com/data-analysis.html,200,False,0
digital-ads.html,https://www.ezhalhe-sa.com/digital-ads.html,200,False,0
google387142411d334808.html,https://www.ezhalhe-sa.com/google387142411d334808.html,200,False,0
index.html,https://www.ezhalhe-sa.com/,200,False,0
product-marketing.html,https://www.ezhalhe-sa.com/product-marketing.html,200,False,0
