area,status,source,as_of,notes
Performance: queries,ACCESS_DENIED_REQUIRES_OWNER_EXPORT,Google Search Console,2026-07-15T12:54:13+03:00,The authenticated read-only check returned no access to the URL-prefix property. No Search Console data was read. Structural URL decisions remain blocked until an owner export or authorized account is provided.
Performance: pages,ACCESS_DENIED_REQUIRES_OWNER_EXPORT,Google Search Console,2026-07-15T12:54:13+03:00,The authenticated read-only check returned no access to the URL-prefix property. No Search Console data was read. Structural URL decisions remain blocked until an owner export or authorized account is provided.
Page indexing,ACCESS_DENIED_REQUIRES_OWNER_EXPORT,Google Search Console,2026-07-15T12:54:13+03:00,The authenticated read-only check returned no access to the URL-prefix property. No Search Console data was read. Structural URL decisions remain blocked until an owner export or authorized account is provided.
Core Web Vitals,ACCESS_DENIED_REQUIRES_OWNER_EXPORT,Google Search Console,2026-07-15T12:54:13+03:00,The authenticated read-only check returned no access to the URL-prefix property. No Search Console data was read. Structural URL decisions remain blocked until an owner export or authorized account is provided.
Sitemaps,ACCESS_DENIED_REQUIRES_OWNER_EXPORT,Google Search Console,2026-07-15T12:54:13+03:00,The authenticated read-only check returned no access to the URL-prefix property. No Search Console data was read. Structural URL decisions remain blocked until an owner export or authorized account is provided.
Manual actions,ACCESS_DENIED_REQUIRES_OWNER_EXPORT,Google Search Console,2026-07-15T12:54:13+03:00,The authenticated read-only check returned no access to the URL-prefix property. No Search Console data was read. Structural URL decisions remain blocked until an owner export or authorized account is provided.
Security issues,ACCESS_DENIED_REQUIRES_OWNER_EXPORT,Google Search Console,2026-07-15T12:54:13+03:00,The authenticated read-only check returned no access to the URL-prefix property. No Search Console data was read. Structural URL decisions remain blocked until an owner export or authorized account is provided.
Crawl stats,ACCESS_DENIED_REQUIRES_OWNER_EXPORT,Google Search Console,2026-07-15T12:54:13+03:00,The authenticated read-only check returned no access to the URL-prefix property. No Search Console data was read. Structural URL decisions remain blocked until an owner export or authorized account is provided.
URL inspection: critical pages,ACCESS_DENIED_REQUIRES_OWNER_EXPORT,Google Search Console,2026-07-15T12:54:13+03:00,The authenticated read-only check returned no access to the URL-prefix property. No Search Console data was read. Structural URL decisions remain blocked until an owner export or authorized account is provided.
Links: external pages,ACCESS_DENIED_REQUIRES_OWNER_EXPORT,Google Search Console,2026-07-15T12:54:13+03:00,The authenticated read-only check returned no access to the URL-prefix property. No Search Console data was read. Structural URL decisions remain blocked until an owner export or authorized account is provided.
