country,clicks,impressions,ctr,average_position
المملكة العربية السعودية,70,"1,795",3.9%,16.5
اليمن,1,12,8.3%,6.4
السودان,1,3,33.3%,3.0
سويسرا,1,1,100%,5.0
الولايات المتحدة,0,111,0%,7.8
مصر,0,62,0%,20.2
الإمارات العربية المتحدة,0,25,0%,31.9
هولندا,0,17,0%,7.6
الأردن,0,17,0%,14.5
الكويت,0,14,0%,11.4
إيران,0,9,0%,5.9
ألمانيا,0,9,0%,16.1
الصين,0,7,0%,8.9
المملكة المتحدة,0,5,0%,7.6
إيطاليا,0,5,0%,23.4
كندا,0,5,0%,37.8
تايوان,0,4,0%,4.8
العراق,0,4,0%,33.5
عُمان,0,3,0%,5.0
فيتنام,0,3,0%,6.0
هونج كونج,0,3,0%,6.7
الجزائر,0,3,0%,7.7
إندونيسيا,0,3,0%,8.7
البحرين,0,2,0%,6.5
الفلبين,0,2,0%,7.5
البرازيل,0,2,0%,8.5
فرنسا,0,2,0%,10.5
المكسيك,0,2,0%,12.5
النمسا,0,2,0%,13.0
قطر,0,2,0%,24.5
إسرائيل,0,2,0%,44.0
المغرب,0,1,0%,2.0
بلغاريا,0,1,0%,4.0
ماليزيا,0,1,0%,4.0
جنوب أفريقيا,0,1,0%,5.0
أيرلندا,0,1,0%,7.0
فلسطين,0,1,0%,7.0
الدنمارك,0,1,0%,8.0
أسبانيا,0,1,0%,8.0
كوريا الجنوبية,0,1,0%,8.0
نيوزيلندا,0,1,0%,8.0
أوغندا,0,1,0%,8.0
غوادلوب,0,1,0%,9.0
موريشيوس,0,1,0%,10.0
سنغافورة,0,1,0%,10.0
سوريا,0,1,0%,11.0
تركيا,0,1,0%,11.0
قبرص,0,1,0%,12.0
اليابان,0,1,0%,13.0
غواتيمالا,0,1,0%,45.0
لبنان,0,1,0%,92.0
