publisher,resource,url,used_for,verified_date,source_type
وزارة التجارة,نظام التجارة الإلكترونية,https://mc.gov.sa/ar/ECC/pages/default.aspx,النظام والأدلة وقائمة امتثال المتاجر,2026-07-15,primary official
وزارة التجارة,دليل المتاجر الإلكترونية,https://mc.gov.sa/ar/guides/CustomerGuide/Pages/ch4.aspx,البيع والشراء والفاتورة وحقوق المستهلك,2026-07-15,primary official
المركز السعودي للأعمال,توثيق التجارة الإلكترونية,https://business.sa/eservices/details/4d6e9d30-e989-4940-08ce-08dbf015747a,المتطلبات الرسمية الحالية لخدمة التوثيق,2026-07-15,primary official
وزارة الموارد البشرية,إصدار وتجديد وثيقة العمل الحر,https://www.wide.hrsd.gov.sa/ministry-services/services/%D8%AA%D8%AC%D8%AF%D9%8A%D8%AF-%D9%88%D8%AB%D9%8A%D9%82%D8%A9-%D8%A7%D9%84%D8%B9%D9%85%D9%84-%D8%A7%D9%84%D8%AD%D8%B1,الأهلية وخطوات إصدار وتجديد الوثيقة,2026-07-15,primary official
هيئة الزكاة والضريبة والجمارك,ما هي الفاتورة الإلكترونية؟,https://zatca.gov.sa/ar/E-Invoicing/Introduction/Pages/What-is-e-invoicing.aspx,تعريف الفاتورة الإلكترونية ومراحل التطبيق,2026-07-15,primary official
سلة,مركز المساعدة,https://help.salla.sa/,إعداد المتجر والمنتجات والدفع والظهور,2026-07-15,primary official
زد,مركز المساعدة,https://help.zid.sa/,إعداد وتصميم المتجر وتحسين الظهور,2026-07-15,primary official
Google Search Central,دليل تحسين محركات البحث,https://developers.google.com/search/docs/fundamentals/seo-starter-guide?hl=ar,أساسيات الزحف والفهرسة والمحتوى,2026-07-15,primary official
Google Search Central,Merchant listing structured data,https://developers.google.com/search/docs/appearance/structured-data/merchant-listing?hl=ar,متطلبات Product وOffer والتحقق,2026-07-15,primary official
Google Analytics,إعداد أحداث التجارة الإلكترونية,https://support.google.com/analytics/answer/12200568?hl=ar,أحداث العرض والسلة والدفع والشراء والاسترداد,2026-07-15,primary official
منشآت,كتالوج الأدلة والأدوات,https://www.monshaat.gov.sa/sites/default/files/2024-12/Toolkit_Catalogue_AR.pdf,أدوات تطوير المشاريع والتسويق والتحليل,2026-07-15,primary official
